"topic","DOE","NASA","NIH","NSF","OSTP","PCAST","TOTAL"
"Government Operations|","31|","18|","7|","24|","16|","9|","105|"
"Defense|","57|","15|","2|","3|","4|","1|","82|"
"Space, Science, Technology, and Communications|","10|","24|","0|","11|","20|","10|","75|"
"Energy|","59|","0|","0|","6|","8|","0|","73|"
"Environment|","17|","5|","0|","7|","8|","0|","37|"
"Foreign Trade|","11|","3|","0|","3|","3|","1|","21|"
"Civil Rights, Minority Issues, and Civil Liberties|","9|","4|","0|","2|","3|","0|","18|"
"Banking, Finance, and Domestic Commerce|","6|","3|","0|","2|","4|","0|","15|"
"Education|","3|","3|","0|","5|","3|","0|","14|"
"Health|","4|","1|","4|","1|","4|","0|","14|"
"Other|","49|","8|","0|","11|","16|","3|","87|"
